GEO,Year,region,decile,Type,value,UOM
Iran,96,Total,4,Total Expenditure per capita,5603804.297,Rials per month
Iran,96,Total,2,Total Expenditure per capita,3674906.138,Rials per month
Iran,96,Total,10,Total Expenditure per capita,31733943.54,Rials per month
Iran,96,Total,1,Total Expenditure per capita,2347339.713,Rials per month
Iran,96,Urban,9,Total Expenditure per capita,15389143.4,Rials per month
Iran,96,Urban,3,Total Expenditure per capita,4671213.948,Rials per month
Iran,96,Urban,6,Total Expenditure per capita,7893766.726,Rials per month
Iran,96,Urban,8,Total Expenditure per capita,11576320.28,Rials per month
Iran,96,Urban,5,Total Expenditure per capita,6680553.218,Rials per month
Iran,96,Urban,7,Total Expenditure per capita,9418919.459,Rials per month
Iran,96,Urban,4,Total Expenditure per capita,5609065.414,Rials per month
Iran,96,Urban,2,Total Expenditure per capita,3691085.03,Rials per month
Iran,96,Urban,10,Total Expenditure per capita,31972792.67,Rials per month
Iran,96,Urban,1,Total Expenditure per capita,2520553.502,Rials per month
Iran,96,Rural,2,Total Expenditure per capita,3654316.379,Rials per month
Iran,96,Rural,7,Total Expenditure per capita,9378849.24,Rials per month
Iran,96,Rural,4,Total Expenditure per capita,5590809.325,Rials per month
Iran,96,Rural,6,Total Expenditure per capita,7861391.825,Rials per month
Iran,96,Rural,8,Total Expenditure per capita,11495154.11,Rials per month
Iran,96,Rural,1,Total Expenditure per capita,2244535.604,Rials per month
Iran,96,Rural,5,Total Expenditure per capita,6650897.255,Rials per month
Iran,96,Rural,3,Total Expenditure per capita,4632128.959,Rials per month
Iran,96,Rural,9,Total Expenditure per capita,15220572.74,Rials per month
Iran,96,Rural,10,Total Expenditure per capita,27776094.32,Rials per month
Iran,87,Total,8,Total Income per capita,1876500.298,Rials per month
Iran,87,Total,4,Total Income per capita,1083688.824,Rials per month
Iran,87,Total,3,Total Income per capita,957016.1671,Rials per month
Iran,87,Total,1,Total Income per capita,542802.2058,Rials per month
Iran,87,Total,6,Total Income per capita,1432964.445,Rials per month
